Booking_id,Stay_duration,Room_price,Room_service_cost,Total_bill,Price_per_day,Checkin_month,Checkin_dayofweek,Is_weekend,Room_type_Executive,Room_type_Standard,Room_type_Suite
1,-0.5137170586692661,-1.171814461905875,0.49747112478720007,7928,-1.1319225365254286,7,2,0,False,True,False
2,-0.5137170586692661,1.4368553108142386,0.22536063736854017,37692,1.4216374496702697,6,6,1,False,False,True
3,-1.01436714995595,1.4368553108142386,-1.6759537429423506,24043,1.2820084052698701,4,2,0,False,False,True
4,1.4888833064774691,-1.171814461905875,-0.15974488296125822,15358,-1.24740068937516,7,5,1,False,True,False
5,-0.01306696738258223,-1.171814461905875,-0.09632930326623153,9413,-1.2064128085995587,6,4,0,False,True,False
6,-0.01306696738258223,0.39338740172619313,0.95982835129094,34329,0.39681173991673657,11,2,0,True,False,False
7,0.4875831239041016,-1.171814461905875,-0.7489332688550515,10847,-1.2537322552594916,4,2,0,False,True,False
8,0.4875831239041016,-0.6500805073618523,-0.8480921752872751,20761,-0.743397749753293,12,5,1,False,False,False
9,-1.5150172412426337,1.4368553108142386,-0.2323845469755615,13295,1.6097827611111772,4,6,1,False,False,True
10,-1.01436714995595,-1.171814461905875,-1.226279632377616,4433,-1.2416096230175397,7,3,0,False,True,False
11,-1.01436714995595,-0.6500805073618523,-0.5379323400515991,9030,-0.6500200219957537,6,3,0,False,False,False
12,-0.01306696738258223,-0.6500805073618523,0.09968248851839638,17583,-0.6807126736911412,8,3,0,False,False,False
13,-0.5137170586692661,0.39338740172619313,1.5098143788278078,26806,0.48768858494354067,6,3,0,True,False,False
14,0.4875831239041016,-0.6500805073618523,0.2853171854438381,21744,-0.692796698824042,7,6,1,False,False,False
15,0.9882332151907854,-0.6500805073618523,-0.8896005547240198,24725,-0.7514709252236941,8,4,0,False,False,False
16,-1.01436714995595,-1.171814461905875,-1.0118196719544348,4619,-1.2176732154060426,12,2,0,False,True,False
17,-0.01306696738258223,-0.6500805073618523,1.5778420006824727,18865,-0.598222150685928,12,3,0,False,False,False
18,-0.5137170586692661,-0.6500805073618523,1.6055142536403026,14889,-0.5347134562973591,4,6,1,False,False,False
19,-0.5137170586692661,1.4368553108142386,1.42218557779468,38730,1.5106911812141193,6,0,0,False,False,True
20,-1.01436714995595,-0.6500805073618523,-0.7062718788783973,8884,-0.668808815067144,8,4,0,False,False,False
21,-0.5137170586692661,-1.171814461905875,-1.0314208511328977,6602,-1.2456848178617912,9,0,0,False,True,False
22,-1.5150172412426337,1.4368553108142386,1.4348686937336854,14741,1.9819552923609063,11,1,0,False,False,True
23,-0.5137170586692661,-0.6500805073618523,0.23112569006808806,13697,-0.6369793984941495,6,1,0,False,False,False
24,-0.01306696738258223,-0.6500805073618523,-0.6025009302865354,16974,-0.719898889377705,8,1,0,False,False,False
25,1.4888833064774691,0.39338740172619313,1.626268443358675,58907,0.3538383506756654,11,1,0,True,False,False
26,-1.01436714995595,-1.171814461905875,0.8733525607977218,6254,-1.007264471079173,1,6,1,False,True,False
27,0.9882332151907854,-0.6500805073618523,-0.0640450081487634,25441,-0.7207568251343893,3,4,0,False,False,False
28,-0.01306696738258223,-0.6500805073618523,1.2434689441086957,18575,-0.6168822533938155,9,1,0,False,False,False
29,1.4888833064774691,1.4368553108142386,0.5101542407262054,85939,1.3477691810197359,2,0,0,False,False,True
30,0.9882332151907854,-0.6500805073618523,-0.9057427022827539,24711,-0.7520714802533731,12,3,0,False,False,False
31,-1.5150172412426337,0.39338740172619313,1.0359270469249722,10395,0.863378652795676,12,3,0,True,False,False
32,0.4875831239041016,1.4368553108142386,-1.1167436310862062,60528,1.3036541244110196,3,6,1,False,False,True
33,1.4888833064774691,-0.6500805073618523,-0.7281790791366791,28865,-0.7507661922807032,3,5,1,False,False,False
